App,Key,Logical Lines of Code,Halstead Volume,Halstead Difficulty,Halstead Effort,Maintainability Index,Cyclomatic Complexity,Cognitive Complexity,Number of Words
insurance_claims,fbp_app_min,210,543.6586766532571,6.2105263157894735,3376.406518162333,43.30,1,0,846
insurance_claims,fbp_app_data,239,610.4242316685962,6.190476190476191,3778.816672234167,40.80,1,0,974
insurance_claims,fbp_app_ml,263,543.6586766532571,6.848214285714286,3723.0911160093588,41.85,2,0,1124
insurance_claims,soa_app_min,250,383.2854248558019,6.0,2299.7125491348115,46.22,1,0,1094
insurance_claims,soa_app_data,285,463.722321603191,7.0,3246.056251222337,44.19,1,0,1247
insurance_claims,soa_app_ml,356,675.7541797227741,7.101449275362318,4798.834029915352,38.49,1,0,1508
mblogger,fbp_app_min,172,155.11451069865606,2.0,310.2290213973121,44.10,1,0,529
mblogger,fbp_app_data,259,331.4137173634208,3.0,994.2411520902624,32.92,1,0,796
mblogger,fbp_app_ml,310,433.60197851434947,3.061224489795918,1327.3529954520902,29.14,1,0,960
mblogger,soa_app_min,240,213.67343933251428,3.0,641.0203179975429,46.93,1,0,1002
mblogger,soa_app_data,265,213.67343933251428,3.0,641.0203179975429,45.11,1,0,1144
mblogger,soa_app_ml,339,291.18514083005306,3.0,873.5554224901591,40.18,1,1,1454
ride_allocation,fbp_app_min,274,627.008672648785,5.862068965517241,3675.5680810446015,33.26,1,0,956
ride_allocation,fbp_app_data,321,767.1218503490396,6.956521739130435,5336.499828515058,28.79,1,0,1154
ride_allocation,fbp_app_ml,360,880.6997466114301,7.012987012987013,6176.335885326913,26.08,1,0,1300
ride_allocation,soa_app_min,446,1114.2842020814173,4.8088235294117645,5358.396089420933,31.74,1,1,1908
ride_allocation,soa_app_data,542,1290.7967858474847,5.301724137931035,6843.448476691406,27.87,1,1,2299
ride_allocation,soa_app_ml,596,1417.492568250068,5.852,8295.166509399398,25.42,1,1,2486
